Data_Value,TractFIPS
19.1,17031282700
25.6,17031282800
19.5,17031283100
21.5,17031283200
19.6,17031283800
13.7,17031290900
14.9,17031291200
20.0,17031291600
13.9,17031292200
13.3,17031292400
13.9,17031292500
19.4,17031300500
18.8,17031300600
18.8,17031300700
18.6,17031300800
19.0,17031300900
18.5,17031301100
17.5,17031301200
19.5,17031301600
19.9,17031301701
17.9,17031301702
16.8,17031301801
19.1,17031301802
18.7,17031301803
23.9,17031310200
23.9,17031310300
20.6,17031310400
20.1,17031310500
21.1,17031310600
21.4,17031310700
21.0,17031310800
21.9,17031310900
24.0,17031320100
32.5,17031320400
24.7,17031320600
24.1,17031330100
18.4,17031330200
11.1,17031340300
12.3,17031340400
15.4,17031340500
9.5,17031340600
16.8,17031350100
10.8,17031350400
15.3,17031351000
11.8,17031351100
12.2,17031351400
19.2,17031351500
13.2,17031360200
13.2,17031380100
9.0,17031380200
15.0,17031380500
14.3,17031380700
16.2,17031381200
15.5,17031381400
14.0,17031381500
15.9,17031381800
13.9,17031381900
18.1,17031390100
17.6,17031390200
12.4,17031390300
12.1,17031390400
18.4,17031390500
19.6,17031390600
16.8,17031390700
16.5,17031400300
14.3,17031400400
12.4,17031400500
12.8,17031400800
18.1,17031410100
23.5,17031410200
20.9,17031410500
22.3,17031410600
24.2,17031410700
20.2,17031410800
19.2,17031410900
19.1,17031411000
22.9,17031411100
21.1,17031411200
11.6,17031420100
17.0,17031420200
23.4,17031420300
15.6,17031420400
13.2,17031420500
12.0,17031420600
13.3,17031420700
14.8,17031420800
12.1,17031421200
15.5,17031430101
14.7,17031430102
13.0,17031430200
15.2,17031430300
12.2,17031430400
13.5,17031430500
14.3,17031430600
13.7,17031430700
14.4,17031430800
14.2,17031430900
15.5,17031431200
14.3,17031431301
14.3,17031431302
14.6,17031431400
14.6,17031440101
14.3,17031440102
13.6,17031440201
11.4,17031440202
14.5,17031440300
14.3,17031440600
14.0,17031440700
12.9,17031440800
13.8,17031440900
14.0,17031450300
15.4,17031460100
15.6,17031460200
16.6,17031460301
13.5,17031460302
14.6,17031460400
13.8,17031460500
14.8,17031460600
15.3,17031460700
9.8,17031461000
13.3,17031470100
12.9,17031480100
12.6,17031480200
13.5,17031480300
13.7,17031480400
15.4,17031480500
12.9,17031490300
14.5,17031490400
17.0,17031490500
13.6,17031490600
13.7,17031490700
13.8,17031490800
14.0,17031490901
14.4,17031490902
12.9,17031491000
13.1,17031491100
13.4,17031491200
